,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI
2004-01-20,114.529999,114.650002,113.82,114.199997,80.5993592047,29863000,0.0000,1.0,76.4577,78.8966,73.3795
2004-01-16,114.040001,114.309998,113.629997,114.230003,80.6205366516,31922700,0.0000,1.0,76.3327,78.7263,73.6911
2004-01-15,113.57,114.059998,112.580002,113.779999,80.3029356447,38408700,0.0000,1.0,76.2061,78.5369,72.0373
2004-01-14,112.760002,113.660004,112.669998,113.5,80.1053197027,30112800,0.0000,1.0,76.0891,78.3602,70.9834
2004-01-13,113.089996,113.230003,111.760002,112.559998,79.4418909738,54239700,0.0000,1.0,75.9663,78.1857,67.1204
2004-01-12,112.550003,113.25,112.360001,113.220001,79.9077037608,31564100,0.0000,1.0,75.8583,78.0601,73.5001
2004-01-09,112.830002,113.5,112.269997,112.389999,79.3219101435,54084300,0.0000,1.0,75.7378,77.8754,70.1916
2004-01-08,113.25,113.410004,112.769997,113.379997,80.0206247364,36438400,0.0000,1.0,75.6270,77.7307,81.4551
2004-01-07,112.389999,113.059998,111.889999,112.93,79.7030286699,30170400,0.0000,1.0,75.4825,77.5017,80.1078
2004-01-06,112.160004,112.730003,112.0,112.550003,79.4348367653,20472800,0.0000,1.0,75.3436,77.2816,78.9061
2004-01-05,111.690002,112.519997,111.589996,112.440002,79.3572009479,27959800,0.0000,1.0,75.2069,77.0663,78.5579
2004-01-02,111.739998,112.190002,110.730003,111.230003,78.503215426,38072300,0.0000,1.0,75.0744,76.8372,74.2099
2003-12-31,111.220001,111.519997,110.839996,111.279999,78.53850129,31501800,0.0000,1.0,74.9775,76.6706,74.7918
2003-12-30,111.089996,111.269997,110.849998,111.18,78.4679246216,19559500,0.0000,1.0,74.8824,76.4838,74.4193
2003-12-29,110.099998,111.269997,109.779999,111.160004,78.4538119698,22483700,0.0000,1.0,74.7778,76.2853,74.3489
2003-12-26,109.709999,110.080002,109.629997,109.699997,77.4233773663,8308400,0.0000,1.0,74.6896,76.0685,68.4659
2003-12-24,109.519997,109.879997,109.43,109.620003,77.3669197016,8055800,0.0000,1.0,74.6162,75.9330,68.0936
2003-12-23,109.480003,109.949997,109.379997,109.730003,77.4445548132,24741200,0.0000,1.0,74.5478,75.7896,69.1358
2003-12-22,108.790001,109.660004,108.779999,109.660004,77.395151357,27611300,0.0000,1.0,74.4726,75.6241,68.8541
2003-12-19,109.300003,109.370003,108.580002,108.900002,76.8587619017,41465100,0.5156,1.0,74.3938,75.4470,65.6979
2003-12-18,108.550003,109.730003,108.389999,109.720001,77.0725933897,29353100,0.0000,1.0,74.3217,75.3059,68.2585
2003-12-17,108.059998,108.5,107.800003,108.5,76.2156061481,23198800,0.0000,1.0,74.2413,75.1292,62.8735
2003-12-16,107.68,108.5,107.519997,108.160004,75.9767766437,32894200,0.0000,1.0,74.1817,75.0205,61.1687
2003-12-15,109.169998,109.230003,107.480003,107.599998,75.5834015585,38693400,0.0000,1.0,74.1213,74.9249,58.2356
2003-12-12,107.970001,108.199997,107.389999,108.139999,75.9627241718,34142200,0.0000,1.0,74.0622,74.8591,62.4600
2003-12-11,106.68,108.099998,106.669998,107.93,75.8152107978,45304000,0.0000,1.0,73.9822,74.7487,61.4502
2003-12-10,106.769997,106.980003,105.959999,106.730003,74.9722753256,36915400,0.0000,1.0,73.9001,74.6421,55.0319
2003-12-09,107.900002,107.93,106.540001,106.739998,74.9792962932,43596100,0.0000,1.0,73.8048,74.6090,55.1028
2003-12-08,106.739998,107.639999,106.68,107.57,75.5623295239,32482900,0.0000,1.0,73.7232,74.5720,61.1861
2003-12-05,107.120003,107.800003,106.620003,106.849998,75.0565655713,28824400,0.0000,1.0,73.6161,74.4730,57.3976
2003-12-04,107.169998,107.720001,106.940002,107.599998,75.5834015585,36089500,0.0000,1.0,73.5238,74.4146,63.3816
2003-12-03,107.650002,108.080002,107.07,107.160004,75.2743286607,39078600,0.0000,1.0,73.4326,74.2977,61.1767
2003-12-02,107.379997,107.769997,107.07,107.330002,75.3937434129,35352000,0.0000,1.0,73.3734,74.2001,62.5274
2003-12-01,106.849998,107.68,106.800003,107.599998,75.5834015585,38699000,0.0000,1.0,73.3062,74.0807,64.6320
2003-11-28,106.279999,106.660004,106.199997,106.449997,74.7755856757,10507500,0.0000,1.0,73.2510,73.9304,59.2007
2003-11-26,106.419998,106.449997,105.389999,106.370003,74.7193940518,33053600,0.0000,1.0,73.2194,73.8459,58.7920
2003-11-25,105.730003,106.419998,105.449997,105.989998,74.452460306,37580000,0.0000,1.0,73.1718,73.7586,56.8867
2003-11-24,104.690002,105.779999,104.68,105.589996,74.1714797079,28906400,0.0000,1.0,73.1323,73.6892,54.8461
2003-11-21,104.239998,104.330002,103.620003,104.209999,73.2021035988,30016000,0.0000,1.0,73.0776,73.6410,46.7760
2003-11-20,104.0,105.239998,103.75,103.779999,72.9000509662,53578700,0.0000,1.0,73.0474,73.6848,43.8736
2003-11-19,104.029999,105.010002,103.919998,104.720001,73.560353475,29827000,0.0000,1.0,73.0205,73.7633,49.3347
2003-11-18,105.239998,105.449997,103.699997,103.839996,72.9421957378,41155000,0.0000,1.0,72.9762,73.7836,43.1872
2003-11-17,104.910004,105.139999,104.040001,104.93,73.707866849,44382100,0.0000,1.0,72.9588,73.8678,50.1917
2003-11-14,106.400002,106.949997,105.290001,105.459999,74.0801635775,49158500,0.0000,1.0,72.9357,73.8837,54.1576
2003-11-13,106.010002,106.540001,105.779999,106.360001,74.712368167,29714800,0.0000,1.0,72.8932,73.8641,61.8656
2003-11-12,105.230003,106.470001,105.160004,106.330002,74.69129543,28000000,0.0000,1.0,72.8462,73.7793,61.6968
2003-11-11,105.089996,105.330002,104.800003,105.150002,73.8624068101,26558600,0.0000,1.0,72.7988,73.6881,54.3134
2003-11-10,105.739998,105.839996,105.010002,105.18,73.8834788447,25530800,0.0000,1.0,72.7603,73.6706,54.5617
2003-11-07,106.639999,106.720001,105.57,105.610001,74.1855321798,31723200,0.0000,1.0,72.7023,73.6494,58.0965
2003-11-06,105.599998,106.440002,105.099998,106.400002,74.7404667888,28392300,0.0000,1.0,72.6287,73.5957,65.3155
2003-11-05,105.489998,105.970001,104.900002,105.839996,74.3470917037,33558800,0.0000,1.0,72.5353,73.4813,62.2259
2003-11-04,105.989998,106.269997,105.580002,105.760002,74.2909000797,31421600,0.0000,1.0,72.4494,73.3947,61.7743
2003-11-03,105.75,106.610001,105.709999,105.989998,74.452460306,37589300,0.0000,1.0,72.3621,73.3051,63.8112
2003-10-31,105.400002,105.739998,105.220001,105.300003,73.96777471,25761600,0.0000,1.0,72.2693,73.1903,60.1508
2003-10-30,105.790001,105.970001,104.800003,105.400002,74.0380188059,39123100,0.0000,1.0,72.2003,73.1126,60.9809
